course_id,course,city,state,street,zip_code,lng,lat,hole,public_private
8075,Regulation at Angushire Golf Course,Saint Cloud,Minnesota,224 Waite Ave S,56301,-94.21314149999999,45.5474743,9,Public
8076,St. Cloud Country Club,Saint Cloud,Minnesota,301 Montrose Rd,56301,-94.146791,45.5204134,18,Private
8077,St. James Country Club,Saint James,Minnesota,Hwy 60 E,56081,-94.62038969999999,43.9681735,18,Semi-Private
8078,Lost Spur Country Club,Saint Paul,Minnesota,2750 Sibley Memorial Hwy,55121,-93.1748673,44.8583029,9,Private
8079,Como Golf Course,Saint Paul,Minnesota,1431 Lexington Pkwy No,55103,-93.1497941,44.9858402,18,Public
8080,Highland Park Eighteen Golf Course,Saint Paul,Minnesota,1403 Montreal Ave,55116,-93.1594387,44.91270859999999,18,Public
8081,Hillcrest Country Club,Saint Paul,Minnesota,2200 Larpenteur Ave E,55109,-93.00835149999999,44.9908161,18,Private
8082,Keller Golf Course,Saint Paul,Minnesota,2166 Maplewood Dr,55109,-93.0558831,45.0076356,18,Public
8083,Midland Hills Country Club,Saint Paul,Minnesota,2001 Fulham St,55113,-93.1968648,45.0013189,18,Private
8084,Phalen Park Golf Course,Saint Paul,Minnesota,1615 Phalen Dr,55106,-93.0627434,44.98911349999999,18,Public
8085,Town & Country Club,Saint Paul,Minnesota,300 Mississippi River Blvd No,55104,-93.199598,44.9491365,18,Private
8086,Fort Snelling Golf Course,Saint Paul,Minnesota,Building 175,55111,-93.1073795,44.9579475,9,Public
8087,Highland Nine Golf Course,Saint Paul,Minnesota,1797 Edgecumbe Rd,55116,-93.15751499999999,44.9120311,9,Public
8088,Shoreland Country Club,Saint Peter,Minnesota,Lake Emily County Rd 21,56082,-93.93255119999999,44.3104662,18,Semi-Private
8089,Farmers Golf & Health Club,Sanborn,Minnesota,County Rd 15,56083,-95.1350003,44.2096903,9,Public
8090,Sandstone Area Country Club,Sandstone,Minnesota,343 Lark St,55072,-92.8709173,46.135811,9,Public
8091,Wapicada Golf Club,Sank Rapids,Minnesota,4448 15th St Ne,56379,-94.06972239999999,45.5888692,18,Semi-Private
8092,Sartell Golf Club,Sartell,Minnesota,35103 Pinecone Rd,56377,-94.22217239999999,45.6423533,18,Public
8093,"Lynx National Golf Course, The",Sauk Centre,Minnesota,40204 Primrose Ln,56378,-94.94756369999999,45.6944765,18,Public
8094,Sauk Centre Country Club,Sauk Centre,Minnesota,Lakeshore Dr,56378,-94.9513139,45.7543914,9,Semi-Private
8095,Stonebrooke Golf Club,Shakopee,Minnesota,2693 S County Rd 79,55379,-93.51607249999999,44.7543495,18,Public
8096,Fox Lake Golf Club,Sherburn,Minnesota,Fox Lake Park,56171,-94.72113139999999,43.6584363,9,Semi-Private
8097,Island Lake Golf & Training Center,Shoreview,Minnesota,1000 Red Fox Rd,55126,-93.1424138,45.0566031,9,Public
8098,Silver Bay Country Club,Silver Bay,Minnesota,Edison Blvd,55614,-91.28359929999999,47.29208260000001,9,Public
8099,Slayton Country Club,Slayton,Minnesota,Route 2,56172,-95.7558464,43.9877419,9,Semi-Private
8100,Sleepy Eye Golf Club,Sleepy Eye,Minnesota,Hwy 14 W,56085,-94.7263889,44.2980556,9,Semi-Private
8101,Little Crow Country Club,Spicer,Minnesota,Hwy 23,56288,-94.93974999999999,45.23302959999999,18,Semi-Private
8102,Springfield Golf Club,Springfield,Minnesota,S O'Connell Ave,56087,-94.9776504,44.2379296,9,Semi-Private
8103,Root River Country Club,Spring Valley,Minnesota,Rural Route 1,55975,-92.389029,43.6960105,9,Semi-Private
8104,Regulation Eighteen at Falcon Ridge Golf Course,Stacy,Minnesota,33942 Falcon Ave,55079,-93.00521900000001,45.43732199999999,18,Public
8105,Executive Nine at Falcon Ridge Golf Course,Stacy,Minnesota,33942 Falcon Ave,55079,-93.00521900000001,45.43732199999999,9,Public
8106,Grandy Nine Golf Club,Stanchfield,Minnesota,1118 361St Ave NE,55080,-93.2405678,45.6230827,9,Public
8107,Terrace National Golf Club,Staples,Minnesota,County Rd 30,56479,-94.8164001,46.3903005,18,Public
8108,Riverside Golf Club,Stephen,Minnesota,613 Golf Terrace,56757,-96.87918429999999,48.4491556,9,Public
8109,Riverview Greens,Stewartville,Minnesota,1801 FirSt Ave NE,55976,-92.4860934,43.8673544,18,Public
8110,Maplebrook Golf Course,Stewartville,Minnesota,701 E 1St St,55976,-92.47705119999999,43.8555149,9,Semi-Private
8111,Nine Hole at Oak Glen Country Club,Stillwater,Minnesota,1599 McKusick Rd,55082,-92.83040160000002,45.07072400000001,9,Public
8112,Applewood Hills Golf Course,Stillwater,Minnesota,11840 60th St No,55082,-92.86748999999999,45.037065,18,Public
8113,Indian Hills Golf Course,Stillwater,Minnesota,6667 Keats Ave No,55082,-92.899366,45.044386,18,Private
8114,Eighteen at Oak Glen Country Club,Stillwater,Minnesota,1599 McKusick Rd,55082,-92.83040160000002,45.07072400000001,18,Public
8115,Sawmill Golf Club,Stillwater,Minnesota,11177 N McKusick Rd,55082,-92.8821945,45.0784452,18,Semi-Private
8116,Stillwater Country Club,Stillwater,Minnesota,1421 N 4th St,55082,-92.8112845,45.0685252,18,Private
8117,"Thief River Falls Golf Club, The",Thief River Falls,Minnesota,Hwy 32 No,56701,-96.1815379,48.1191192,18,Semi-Private
8118,Tracy Country Club,Tracy,Minnesota,Hwy 14 E,56175,-95.6228429,44.2387884,9,Semi-Private
8119,Lakeview Municipal Golf Course,Two Harbors,Minnesota,Hwy 61 E,55616,-91.67075349999999,47.0256148,18,Public
8120,Tyler Community Golf Club,Tyler,Minnesota,County Rd 7,56178,-96.13528559999999,44.27591650000001,9,Semi-Private
8121,Deer Run Golf Club,Victoria,Minnesota,8661 Deer Run Dr,55386,-93.65845,44.846133,18,Public
8122,Virginia Golf Course,Virginia,Minnesota,9th St No,55792,-92.54883319999999,47.5307006,18,Public
8123,Coffee Mill Golf & Country Club,Wabasha,Minnesota,215 Skyline Dr,55981,-92.0343778,44.354739,9,Semi-Private
8124,Island View Golf Club,Waconia,Minnesota,9150 Island View Rd,55387,-93.75164989999999,44.8624152,18,Semi-Private
8125,Wadena Golf Club,Wadena,Minnesota,Hwy 71,56482,-95.09574549999999,46.7498494,18,Semi-Private
8126,Wedgewood Golf Course,Walker,Minnesota,Hist County Road 73,56484,-94.5872162,47.10134619999999,9,Public
8127,Tianna Country Club,Walker,Minnesota,S Hwy 34,56484,-94.5868852,47.1013428,18,Semi-Private
8128,Riverside Golf Club,Warren,Minnesota,S Main St,56762,-96.76675279999999,48.187189,9,Semi-Private
8129,Warroad Estates Golf Course,Warroad,Minnesota,201 Birch Dr No,56763,-95.3322419,48.9404704,18,Semi-Private
8130,Waseca Lakeside Golf Club,Waseca,Minnesota,37160 Clear Lake Dr,56093,-93.4814648,44.09894999999999,18,Semi-Private
8131,River's Edge Country Club,Watertown,Minnesota,1455 County Rd 27,55388,-93.8302513,44.9751881,9,Public
8132,Timber Creek Golf Course,Watertown,Minnesota,9750 County Rd 24,55388,-93.77125799999999,44.952806,18,Public
8133,Wayzata Country Club,Wayzata,Minnesota,200 W Wayzata Blvd,55391,-93.5304855,44.9775198,18,Private
8134,Woodhill Country Club,Wayzata,Minnesota,200 Woodhill Rd,55391,-93.5456758,44.9752348,18,Private
8135,Wells Golf Club,Wells,Minnesota,1St Ave SW,56097,-93.7268886,43.7410101,9,Public
8136,Rolling Hills Golf Club,Westbrook,Minnesota,Route 2,56183,-95.43611279999999,44.0421825,9,Semi-Private
8137,Thompson Oaks Golf Course,West Saint Paul,Minnesota,1555 Oakdale Ave,55118,-93.07201289999999,44.8993802,9,Public
8138,Southview Country Club,West Saint Paul,Minnesota,239 E Mendota Rd,55118,-93.07395269999999,44.8846272,18,Private
8139,Wheaton Country Club,Wheaton,Minnesota,Hwy 27 W,56296,-96.4992381,45.804393,9,Semi-Private
8140,Oneka Ridge Golf Course,White Bear Lake,Minnesota,5610 120th St No,55110,-92.98671499999999,45.127362,18,Public
8141,Gem Lake Hills Golf Course,White Bear Lake,Minnesota,4039 Scheuneman Rd,55110,-93.03161229999999,45.0633016,18,Public
8142,Manitou Ridge Golf Club,White Bear Lake,Minnesota,3200 N McKnight Rd,55110,-92.99991,45.039723,18,Public
8143,Valley Golf Course,Willmar,Minnesota,1900 E Becker Ave,56201,-95.0178273,45.1211876,9,Public
8144,Eagle Creek Golf Club,Willmar,Minnesota,1000 26th Ave NE,56201,-95.03336759999999,45.1517588,18,Semi-Private
8145,Windom Country Club,Windom,Minnesota,County Rd 13,56101,-95.1379705,43.8779693,9,Semi-Private
8146,Riverside Town & Country Club,Winnebago,Minnesota,36259 150th St,56098,-94.1432955,43.7085915,9,Semi-Private
8147,Executive at Cedar Valley Golf Course,Winona,Minnesota,County Rd 9,55987,-91.5492124,43.9675428,9,Semi-Private
8148,Westfield Golf Club,Winona,Minnesota,1460 W 5th St,55987,-91.6762969,44.0545769,9,Public
8149,Winona Country Club,Winona,Minnesota,Pleasant Valley Rd,55987,-91.6027276,43.9996513,18,Private
8150,Regulation Eighteen at Cedar Valley Golf Course,Winona,Minnesota,County Rd 9,55987,-91.5492124,43.9675428,18,Semi-Private
8151,Winthrop Golf Club,Winthrop,Minnesota,Hwy 15,55396,-94.3758604,44.5428726,9,Semi-Private
8152,Eagle Valley Golf Course,Woodbury,Minnesota,2600 Double Eagle Ln,55129,-92.89864020000002,44.9113441,18,Public
8153,Prestwick Golf Club at Wedgewood,Woodbury,Minnesota,9555 Wedgewood Dr,55125,-92.9125242,44.8975732,18,Semi-Private
8154,Woodbury Par d,Woodbury,Minnesota,3351 Woodlane Dr,55125,-92.96435919999999,44.9013075,9,Public
8155,Prairie View Golf Links,Worthington,Minnesota,Hwy 266 No,56187,-95.7136513,43.7011592,18,Public
8156,Worthington Country Club,Worthington,Minnesota,1414 Liberty Dr,56187,-95.6228003,43.6255466,18,Semi-Private
