course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
8071,Ferndale Country Club,Rushford,Minnesota,Route 2 Hwy 16,55971,-91.7532195,43.80545009999999,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3360,119,35.50,36,3228,117,34.90,38,2978,108,36.50
8076,St. Cloud Country Club,Saint Cloud,Minnesota,301 Montrose Rd,56301,-94.146791,45.5204134,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6622,133,72.60,72,6415,132,71.70,72,5304,123,71.20
8077,St. James Country Club,Saint James,Minnesota,Hwy 60 E,56081,-94.62038969999999,43.9681735,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6829,131,72.70,72,6402,127,70.80,72,5184,118,70.00
8079,Como Golf Course,Saint Paul,Minnesota,1431 Lexington Pkwy No,55103,-93.1497941,44.9858402,18,Public,Open: 4/01 Closed: 11/01,4,10,70,5821,117,67.60,70,5581,115,66.50,70,5077,115,69.00
8080,Highland Park Eighteen Golf Course,Saint Paul,Minnesota,1403 Montreal Ave,55116,-93.1594387,44.91270859999999,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6265,111,69.00,72,6097,110,68.40,73,5600,118,71.10
8081,Hillcrest Country Club,Saint Paul,Minnesota,2200 Larpenteur Ave E,55109,-93.00835149999999,44.9908161,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6350,135,71.70,72,6051,132,70.20,72,5412,134,72.80
8082,Keller Golf Course,Saint Paul,Minnesota,2166 Maplewood Dr,55109,-93.0558831,45.0076356,18,Public,Open: 3/15 Closed: 11/01,3,10,72,6566,128,71.70,71,6041,123,69.40,73,5373,125,71.30
8083,Midland Hills Country Club,Saint Paul,Minnesota,2001 Fulham St,55113,-93.1968648,45.0013189,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6577,135,72.60,72,6340,132,71.50,74,5553,135,72.90
8084,Phalen Park Golf Course,Saint Paul,Minnesota,1615 Phalen Dr,55106,-93.0627434,44.98911349999999,18,Public,Open: 4/01 Closed: 11/01,4,10,70,6101,120,68.90,70,5881,118,67.80,71,5389,125,70.70
8085,Town & Country Club,Saint Paul,Minnesota,300 Mississippi River Blvd No,55104,-93.199598,44.9491365,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6301,132,71.90,72,6111,130,71.00,75,5721,137,74.50
8090,Sandstone Area Country Club,Sandstone,Minnesota,343 Lark St,55072,-92.8709173,46.135811,9,Public,Open: 4/15 Closed: 10/15,4,10,34,2581,102,31.90,34,2496,102,31.90,35,2260,115,32.70
8091,Wapicada Golf Club,Sank Rapids,Minnesota,4448 15th St Ne,56379,-94.06972239999999,45.5888692,18,Semi-Private,Open: 4/01 Closed: 10/31,4,10,72,6610,127,71.70,72,6269,124,70.10,73,5491,126,71.50
8093,"Lynx National Golf Course, The",Sauk Centre,Minnesota,40204 Primrose Ln,56378,-94.94756369999999,45.6944765,18,Public,year round,1,12,72,6700,124,71.10,72,6208,119,68.90,72,5244,113,69.10
8095,Stonebrooke Golf Club,Shakopee,Minnesota,2693 S County Rd 79,55379,-93.51607249999999,44.7543495,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6604,133,72.40,71,6069,128,70.00,71,5033,120,69.90
8096,Fox Lake Golf Club,Sherburn,Minnesota,Fox Lake Park,56171,-94.7206664,43.6731014,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,35,2714,120,33.10,35,2572,118,32.60,37,2187,114,32.80
8101,Little Crow Country Club,Spicer,Minnesota,Hwy 23,56288,-94.93974999999999,45.23302959999999,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6740,123,72.30,72,6390,119,70.50,72,5662,125,73.10
8104,Regulation Eighteen at Falcon Ridge Golf Course,Stacy,Minnesota,33942 Falcon Ave,55079,-93.00521900000001,45.43732199999999,18,Public,Open: 4/01 Closed: 10/31,4,10,72,5787,117,70.10,72,5627,114,69.20,72,5070,120,69.60
8107,Terrace National Golf Club,Staples,Minnesota,County Rd 30,56479,-94.8164001,46.3903005,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6571,130,71.60,72,6219,127,70.00,72,5096,119,69.20
8112,Applewood Hills Golf Course,Stillwater,Minnesota,11840 60th St No,55082,-92.86748999999999,45.037065,18,Public,Open: 4/01 Closed: 10/31,4,10,62,4180,92,59.10,62,3890,91,58.20,62,3510,94,59.10
8113,Indian Hills Golf Course,Stillwater,Minnesota,6667 Keats Ave No,55082,-92.899366,45.044386,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6751,126,72.60,72,6416,122,70.90,74,5711,128,73.20
8114,Eighteen at Oak Glen Country Club,Stillwater,Minnesota,1599 McKusick Rd,55082,-92.83040160000002,45.07072400000001,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6574,131,72.40,72,6310,128,71.30,72,5626,130,73.40
8115,Sawmill Golf Club,Stillwater,Minnesota,11177 N McKusick Rd,55082,-92.8821945,45.0784452,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,70,6410,123,71.30,70,5837,118,68.50,71,4926,122,66.80
8116,Stillwater Country Club,Stillwater,Minnesota,1421 N 4th St,55082,-92.8112845,45.0685252,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6672,130,72.90,72,6451,128,71.90,72,5334,133,73.70
8119,Lakeview Municipal Golf Course,Two Harbors,Minnesota,Hwy 61 E,55616,-91.67075349999999,47.0256148,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6773,127,,72,6429,127,,72,5364,123,
8121,Deer Run Golf Club,Victoria,Minnesota,8661 Deer Run Dr,55386,-93.65845,44.846133,18,Public,Open: 4/01 Closed: 10/31,4,10,71,6265,122,70.50,71,6075,120,69.60,71,5541,121,72.10
8123,Coffee Mill Golf & Country Club,Wabasha,Minnesota,215 Skyline Dr,55981,-92.0343778,44.354739,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3355,134,,36,3215,132,35.10,36,2829,126,36.10
8124,Island View Golf Club,Waconia,Minnesota,9150 Island View Rd,55387,-93.75164989999999,44.8624152,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6552,129,71.50,72,6252,126,70.10,72,5382,124,71.00
8125,Wadena Golf Club,Wadena,Minnesota,Hwy 71,56482,-95.09574549999999,46.7498494,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6654,119,70.80,72,6339,116,69.30,72,5266,113,69.00
8127,Tianna Country Club,Walker,Minnesota,S Hwy 34,56484,-94.5868852,47.1013428,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6550,127,72.00,72,6323,125,71.00,74,5425,124,72.00
8129,Warroad Estates Golf Course,Warroad,Minnesota,201 Birch Dr No,56763,-95.3322419,48.9404704,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,72,6942,128,74.30,72,6205,123,71.60,73,5455,121,72.00
8130,Waseca Lakeside Golf Club,Waseca,Minnesota,37160 Clear Lake Dr,56093,-93.4814648,44.09894999999999,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6029,118,68.90,71,5823,116,67.90,71,5060,115,69.00
8131,River's Edge Country Club,Watertown,Minnesota,1455 County Rd 27,55388,-93.8302513,44.9751881,9,Public,Open: 4/01 Closed: 11/01,4,10,36,2809,123,33.60,36,2743,112,33.30,36,2287,111,33.20
8132,Timber Creek Golf Course,Watertown,Minnesota,9750 County Rd 24,55388,-93.77125799999999,44.952806,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6568,130,71.60,72,6221,126,70.10,72,5421,125,71.00
8133,Wayzata Country Club,Wayzata,Minnesota,200 W Wayzata Blvd,55391,-93.5304855,44.9775198,18,Private,Open: 4/15 Closed: 11/01,4,10,72,6932,138,74.80,72,6660,136,73.40,72,5734,127,72.90
8134,Woodhill Country Club,Wayzata,Minnesota,200 Woodhill Rd,55391,-93.5456758,44.9752348,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6575,131,72.40,71,6363,129,71.60,72,5601,129,73.50
8137,Thompson Oaks Golf Course,West Saint Paul,Minnesota,1555 Oakdale Ave,55118,-93.07201289999999,44.8993802,9,Public,Open: 4/01 Closed: 10/31,4,10,29,1675,87,28.80,29,1577,85,28.20,29,1252,77,26.40
8138,Southview Country Club,West Saint Paul,Minnesota,239 E Mendota Rd,55118,-93.07395269999999,44.8846272,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6394,130,71.40,71,6119,128,70.50,73,5631,128,73.50
